artist_name,expert_selection_system_ranking,peer_selection_system_ranking,market_selection_system_ranking,date_of_birth,date_of_death,age,active_years,gender,dominant_style,number_of_paintings,number_of_styles,career_stage,style_stage,visual_originality_max,visual_originality_mean,visual_originality_95th_percentile,visual_originality_dominant_style_max,visual_originality_dominant_style_mean,visual_originality_dominant_style_95th_percentile
bela-czobel,0.165374677002584,0.0859375,0.09915356711003642,1883,1976,0.8235294117647058,0.7926829268292683,0,post_impressionism,0.01063829787234043,0.4285714285714285,0.4444444444444444,0.7784419951429106,0.3051772756436241,0.3156921880114033,0.3155697843513285,0.2319204819460057,0.2319204819460057,0.2319204819460057
bertalan-por,0.13953488372093026,0.09375,0.054413542926239566,1880,1964,0.7176470588235294,0.5243902439024389,0,post_impressionism,0.006382978723404255,0.0,1.0,0.9469456379600224,0.4249254129388421,0.4395662588880404,0.4393958254057544,0.3456391416330482,0.3456391416330482,0.3456391416330482
camille-pissarro,0.9715762273901808,0.9375,0.9746070133010882,1830,1903,0.5882352941176471,0.5975609756097561,0,impressionism,0.4664893617021277,0.2857142857142857,0.04773561811505509,0.02141696146859164,0.3849862564650374,0.2173066925342834,0.3621013687078273,0.3201519903853755,0.3201519903853755,0.3201519903853755
felix-vallotton,0.6705426356589148,0.4296875,0.8863361547762999,1865,1925,0.4352941176470588,0.5,0,art_nouveau_modern,0.09202127659574467,0.4285714285714285,0.0273224043715847,0.006188118811881188,0.3301252857198931,0.3013236124221481,0.3373513146866499,0.6025284390214055,0.6025284390214055,0.6025284390214055
francisc-sirato,0.07881136950904401,0.0,0.2091898428053204,1877,1953,0.6235294117647059,0.3780487804878049,0,post_impressionism,0.01329787234042553,0.1428571428571428,0.07142857142857142,0.7027834858957593,0.3648929625690891,0.3774653846701168,0.3773190296243166,0.3381400203386288,0.3381400203386288,0.3381400203386288
georges-seurat,0.9651162790697674,0.546875,0.954050785973398,1859,1891,0.1058823529411765,0.1463414634146341,0,post_impressionism,0.08351063829787234,0.1428571428571428,0.019230769230769232,0.003362600410984495,0.3871058386087501,0.3746063173273502,0.3977056158487258,0.6460073717480636,0.5596669895658457,0.6373733335298418
grace-cossington-smith,0.25839793281653745,0.0859375,0.28174123337363965,1892,1984,0.8117647058823529,0.4878048780487805,1,post_impressionism,0.015425531914893618,0.1428571428571428,0.2564102564102564,0.7681673827760135,0.3611774575946007,0.3502773495496093,0.3711434507546589,0.27668547342245003,0.27668547342245003,0.27668547342245003
gustave-loiseau,0.2648578811369509,0.3046875,0.4220072551390568,1865,1935,0.5529411764705883,0.5,0,post_impressionism,0.1319148936170213,0.0,1.0,0.8576499159349897,0.1774629137321262,0.18357741548357104,0.1835062368215211,0.1938781352594739,0.1938781352594739,0.1938781352594739
gwen-john,0.5465116279069768,0.0859375,0.4933494558645707,1876,1939,0.4705882352941176,0.3414634146341464,1,post_impressionism,0.01861702127659574,0.0,1.0,0.8180459555389501,0.2097216113373065,0.216947589615638,0.216863472301299,0.2432964477964029,0.2432964477964029,0.2432964477964029
henri-edmond-cross,0.3746770025839793,0.328125,0.5646916565900846,1856,1910,0.3647058823529412,0.3536585365853658,0,post_impressionism,0.0627659574468085,0.2857142857142857,0.07142857142857142,0.3140295161591631,0.3470643347105605,0.342753478135065,0.3572569972100169,0.3046512219925158,0.2657838969330831,0.2992042924600138
henri-le-fauconnier,0.4315245478036176,0.0703125,0.3990326481257558,1881,1946,0.4941176470588236,0.451219512195122,0,post_impressionism,0.0058510638297872355,0.1428571428571428,0.3333333333333333,0.6213338314963572,0.3929711897502906,0.3753294089186355,0.4032364778302265,0.2450516259067862,0.2450516259067862,0.2450516259067862
henri-martin,0.3229974160206718,0.0234375,0.5211608222490931,1860,1943,0.7058823529411765,0.5975609756097561,0,post_impressionism,0.07234042553191489,0.1428571428571428,0.2777777777777778,0.376798057164207,0.1987262331122164,0.2055733645768605,0.205493657402614,0.2697619433617869,0.2697619433617869,0.2697619433617869
ion-theodorescu-sion,0.009043927648578752,0.09375,0.1704957678355502,1882,1939,0.4,0.3170731707317073,0,post_impressionism,0.01648936170212766,0.2857142857142857,0.5862068965517241,0.7986175976088175,0.4342573703901931,0.3586450808046788,0.4399916183485411,0.322518756512135,0.2795805347621288,0.3182249343371344
irma-stern,0.3113695090439277,0.0625,0.7037484885126966,1894,1966,0.5764705882352941,0.5243902439024389,1,post_impressionism,0.01861702127659574,0.2857142857142857,0.04878048780487805,0.8180459555389501,0.2915834100327622,0.3016299444541949,0.3015129931624258,0.3047220543712196,0.3047220543712196,0.3047220543712196
jacques-villon,0.7803617571059431,0.328125,0.5054413542926239,1875,1963,0.7647058823529411,0.7682926829268293,0,cubism,0.02180851063829787,0.5714285714285714,0.5128205128205128,0.1937078651685393,0.3596653569375597,0.3187385742136546,0.3709542509806555,0.3166003673815556,0.2846781883167664,0.3134081494750767
kazuo-nakamura,0.20671834625323002,0.0859375,0.14389359129383314,1926,2002,0.6235294117647059,0.4634146341463415,0,abstract_expressionism,0.011702127659574471,0.2857142857142857,0.5185185185185185,0.2690058479532164,0.2894955592589752,0.2994701565813003,0.2993540427063273,0.2548181872181052,0.2548181872181052,0.2548181872181052
kees-van-dongen,0.6640826873385013,0.2578125,0.8742442563482467,1877,1968,0.8,0.5121951219512195,0,expressionism,0.01329787234042553,0.2857142857142857,0.03225806451612903,0.00813161875945537,0.3237221520545236,0.3348760299216856,0.3347461880906542,0.3146478768820711,0.3146478768820711,0.3146478768820711
le-pho,0.029715762273901825,0.0078125,0.44740024183796856,1907,2001,0.8352941176470589,0.5365853658536586,0,post_impressionism,0.01914893617021277,0.0,0.4545454545454545,0.9622641509433962,0.2963931887238818,0.3066054445324619,0.3064865640848777,0.2994337429195534,0.2994337429195534,0.2994337429195534
